antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
['net_margin_yoy_crash'],"['ann_fin_flag_1', 'ocf_plunge']",0.12583103616020755,0.03810604832171234,0.021404248419004377,0.17010309278350516,4.4639394604079845,1.0,0.016609324874712374,1.1590523392893652,0.8876803651428025,0.1501706484641638,0.13722619237961503,0.3659026102215398
['ocf_plunge'],"['ann_fin_flag_1', 'net_margin_yoy_crash']",0.13053348467650397,0.036970974541916654,0.021404248419004377,0.1639751552795031,4.435240274599542,1.0,0.01657829828016168,1.1519143618035024,0.8908141466888203,0.146503884572697,0.13187990951485026,0.37146126185027784
['roe_low'],"['ann_fin_flag_1', 'net_margin_yoy_crash']",0.1289119507053673,0.036970974541916654,0.02107994162477704,0.16352201257861634,4.42298355952775,1.0,0.01631394117710009,1.1512903387055282,0.8884386276419037,0.14557670772676373,0.13140937052910037,0.36684872558755377
"['roa_low', 'net_margin_low']","['ann_fin_flag_1', 'net_margin_yoy_crash']",0.12729041673423058,0.036970974541916654,0.02059348143343603,0.16178343949044585,4.375958207620963,1.0,0.01588743067692483,1.1489024087911783,0.8840038389850098,0.14334085778781036,0.12960405309607334,0.35940049167504745
['roa_low'],"['ann_fin_flag_1', 'net_margin_yoy_crash']",0.13085779147073132,0.036970974541916654,0.02107994162477704,0.161090458488228,4.357214287267114,1.0,0.016242001547701196,1.1479533582639192,0.8865011481056257,0.14364640883977903,0.12888446834431758,0.3656329485423596
['net_margin_low'],"['ann_fin_flag_1', 'net_margin_yoy_crash']",0.131019944867845,0.036970974541916654,0.0207556348305497,0.15841584158415842,4.28487059232239,1.0,0.015911699784357282,1.1443050773090166,0.8822075013995149,0.14096916299559473,0.1261071720911778,0.3599096751780441
['is_st'],"['ann_fin_flag_1', 'is_strict_st']",0.24712177720123238,0.0659964326252635,0.0659964326252635,0.26706036745406825,4.046587926509186,1.0,0.04968727690596699,1.274325368557832,1.0,0.26706036745406825,0.2152710566127151,0.6335301837270342
['net_margin_yoy_crash'],"['ann_fin_flag_1', 'roa_low', 'net_margin_low']",0.12583103616020755,0.041024809469758394,0.02059348143343603,0.163659793814433,3.989288333808728,1.0,0.015431287149581236,1.1466328934537249,0.8571898045298595,0.14079822616407983,0.12788128989746503,0.3328180391997066
['net_margin_yoy_crash'],"['ann_fin_flag_1', 'roa_low']",0.12583103616020755,0.04215988324955408,0.02107994162477704,0.1675257731958763,3.9735824742268044,1.0,0.015774919831092273,1.1505943198116813,0.8560563902800964,0.14348785871964684,0.13088394164533082,0.3337628865979382
['net_margin_yoy_crash'],"['ann_fin_flag_1', 'net_margin_low']",0.12583103616020755,0.04183557645532674,0.0207556348305497,0.16494845360824745,3.9427795093103177,1.0,0.015491420896816353,1.1474314701707817,0.8538072713782229,0.14128035320088303,0.12848825747200238,0.3305362423079997
['is_strict_st'],"['ann_fin_flag_1', 'is_st']",0.1994486784498135,0.08415761310199449,0.0659964326252635,0.33089430894308947,3.9318404686937045,1.0,0.04921130791057999,1.3687559366762416,0.9314408226703143,0.30327868852459017,0.26940956148230044,0.557547347149772
['net_margin_yoy_crash'],"['ann_fin_flag_1', 'roe_low']",0.12583103616020755,0.04264634344089509,0.02107994162477704,0.1675257731958763,3.928256438399122,1.0,0.01571370804116514,1.1500099651545905,0.8527346146711755,0.14301430143014304,0.13044231763193923,0.3309111755713222
