Symbol,ShortName,violation_year,feature_year,ann_related,ann_fin_flag,third_party_flag,roe,roa,debt_ratio,current_ratio,asset_turnover,net_margin,ocf_to_rev,ts_code,name,industry,area,list_date,p_ml,rule_score_sum,rule_score_norm,n_rules_triggered,rule_ids,risk_score,risk_level
600136,ST 明诚,2021,2020,1.0,1.0,0.0,-0.9045575831449628,-0.2320717119971122,0.7434417484067226,0.5564570676531163,0.0778038565804687,-2.9827790317449328,0.6884218054630151,600136.SH,ST明诚,房产服务,湖北,19980303.0,0.678565241139701,70.0,0.56,4,R1;R3;R4;R5,0.6311391446838206,高风险
600275,*ST 昌鱼,2017,2016,0.0,,,-0.2858733704207132,-0.127280534897677,0.5547660325606361,0.0929310451912735,0.0550370180187903,-2.312635013296356,0.6273779168036826,600275.SH,退市昌鱼(退),未分类,未知,20000810.0,0.7534673357071905,55.0,0.44,3,R1;R4;R5,0.6280804014243143,高风险
600969,郴电国际,2024,2023,0.0,,,-0.0094383153496994,-0.002413121820138,0.7443270614797945,0.809443284386158,0.2622748451432367,-0.0092007368027235,0.1127194772605198,600969.SH,郴电国际,水力发电,湖南,20040408.0,0.6713369213192867,70.0,0.56,4,R1;R3;R4;R5,0.626802152791572,高风险
300356,*ST 光一,2022,2021,0.0,,,-0.2768510369760919,-0.1265059899881049,0.5430539420409335,0.9164701565952648,0.2405897528549598,-0.5258162015918004,0.0788911937877503,300356.SZ,光一退(退),未分类,未知,20121009.0,0.7505710748403213,55.0,0.44,3,R1;R4;R5,0.6263426449041928,高风险
600172,黄河旋风,2021,2020,0.0,,,-0.3046403935824837,-0.0983281193552717,0.6772321680688459,0.6095436943396625,0.2457665823079646,-0.4000874261743974,0.1752544910768951,600172.SH,黄河旋风,矿物制品,河南,19981126.0,0.7486935464628743,55.0,0.44,3,R1;R4;R5,0.6252161278777246,高风险
300262,巴安水务,2021,2020,1.0,1.0,0.0,-0.27263375711164,-0.0924344128248907,0.6609575651813359,0.4675902975030506,0.0819518015965746,-1.1279119070489634,0.4444897247599265,300262.SZ,*ST巴安(退),未分类,未知,20110916.0,0.7485668933461321,55.0,0.44,3,R1;R4;R5,0.6251401360076793,高风险
600209,退市罗顿,2022,2021,1.0,1.0,0.0,-0.1591715375898273,-0.0980199525124327,0.3841866831429215,0.8073576615391693,0.1320267208743727,-0.7424251080635528,0.2448001742992854,600209.SH,退市罗顿(退),未分类,未知,19990325.0,0.7471190659117712,55.0,0.44,3,R1;R4;R5,0.6242714395470628,高风险
300495,*ST 美尚,2023,2022,0.0,,,-0.992776133572443,-0.1719724357328985,0.8267762188097064,0.6523510455119775,0.0324344970128955,-5.302145911636133,0.420014242707886,300495.SZ,*ST美尚(退),未分类,未知,20151222.0,0.6670110141818671,70.0,0.56,4,R1;R3;R4;R5,0.6242066085091202,高风险
600306,ST 商城,2022,2021,0.0,,,-2.2434845387573947,-0.0721127079554528,0.9678568286477276,0.2682703607718053,0.1039594972615039,-0.6936615687363088,0.1905442168430315,600306.SH,退市商城(退),未分类,未知,20001226.0,0.6668554842599608,70.0,0.56,4,R1;R3;R4;R5,0.6241132905559765,高风险
600185,格力地产,2019,2018,1.0,1.0,0.0,0.0623777736684803,0.0172510663376262,0.7234420960691769,4.104769457647478,0.1037623172830897,0.1662556001959839,-0.3951848784261931,600185.SH,珠免集团,旅游服务,广东,19990611.0,0.7457495489825962,55.0,0.44,3,R2;R3;R5,0.6234497293895577,高风险
